Wavelength (nm),Power (mW),Position (mm)
660,0.0070208579900000005,75.57730312500007
660,0.0075101966099999995,74.98132387500007
660,0.00820526475,74.34733987500007
660,0.00863978221,73.52733262500007
660,0.0112340349,72.61531387500007
660,0.0116800338,70.67530950000005
660,0.0124645867,70.18334325000008
660,0.0138106934,69.54531112500007
660,0.0154365625,68.60333625000007
660,0.0170583789,67.56130125000007
660,0.0180943134,66.59532337500006
660,0.0193735214,65.97734137500007
660,0.021064262900000002,65.39731650000006
660,0.022240079500000003,64.58931075000005
660,0.0239085166,64.10934600000007
660,0.0262114991,63.45731212500005
660,0.0291571196,62.58334575000006
660,0.0323581771,61.539310500000056
660,0.0345780318,60.571332375000054
660,0.0371283422,59.96330400000006
660,0.0403476406,59.32131900000005
660,0.042780367900000005,58.56531975000005
660,0.0472971187,57.525332625000054
660,0.0507718614,57.09132600000005
660,0.05573867020000001,56.441340000000054
660,0.0582382891,55.58332800000005
660,0.062627325,55.16732362500005
660,0.0675069678,54.52933912500005
660,0.0721554898,53.883306000000054
660,0.0774324726,53.23732050000005
660,0.0865389738,52.56133125000005
660,0.114744355,51.52134412500005
660,0.12216621,49.15733437500005
660,0.130460045,48.46134262500005
660,0.139321666,47.81730975000004
660,0.14921747800000001,47.18132550000004
660,0.166433776,46.53734025000004
660,0.184197546,45.49130475000005
660,0.204354175,44.57933362500005
660,0.22692394899999999,43.58330437500004
660,0.239293702,42.56331975000004
660,0.25517161699999996,41.99934450000004
660,0.279424479,41.43532162500004
660,0.293335383,40.56730837500004
660,0.314262579,40.15330425000003
660,0.345653418,39.50731875000003
660,0.386210042,38.577345375000036
660,0.429301435,37.52730937500003
660,0.460509706,36.559331250000035
660,0.49190048599999997,35.98930762500004
660,0.5338969060000001,35.36132437500003
660,0.561779598,34.565320125000035
660,0.629995833,33.573339000000026
660,0.666476437,33.12133012500003
660,0.734976609,32.47734487500003
660,0.821382389,31.54532362500003
660,0.880148902,30.549342000000028
660,1.1297327000000001,29.91130987500003
660,1.19551213,27.711320625000024
660,1.28153129,27.033331125000025
660,1.40985206,26.409300750000025
660,1.56671088,25.517332125000024
660,1.74279744,24.535304625000023
660,1.88994117,23.567326500000025
660,2.05125264,22.88333625000002
660,2.26113969,22.248209250000023
660,2.53498484,21.56450475000002
660,2.80822278,20.80569562500002
660,2.95192562,20.15609062500002
660,3.16788466,19.660409625000018
660,3.42675229,19.15610850000002
660,3.4945556,19.05428625000002
660,3.55142984,18.959179125000016
660,3.60972038,18.857595000000018
660,3.66274896,18.754772625000015
660,3.72286118,18.658808250000018
660,3.75038711,18.555604875000018
660,3.7872234799999998,18.508218000000017
660,3.8451096,18.44540062500002
660,3.90663883,18.35419875000002
660,3.97160882,18.25761525000002
660,4.03840048,18.158174250000016
660,4.11126344,18.059019000000017
660,4.14951704,17.954196375000016
660,4.1944491699999995,17.901189750000018
660,4.25395416,17.837800875000017
660,4.29281499,17.757409875000015
660,4.34564054,17.709403875000014
660,4.42376686,17.645205375000018
660,4.51120315,17.55619425000002
660,4.60552052,17.459610750000017
660,4.67028795,17.360979375000017
660,4.72878106,17.293590000000016
